Link,Count
wiki/Undefined_behavior,3107
wiki/SQL_injection,2999
wiki/ISO_8601,2329
wiki/Same_origin_policy,2290
wiki/Singleton_pattern,1635
wiki/Single_responsibility_principle,1518
wiki/Model%E2%80%93view%E2%80%93controller,1418
wiki/Database_normalization,1331
wiki/Dependency_injection,1296
wiki/Byte_Order_Mark,1256
wiki/Trie,1241
wiki/Don%27t_repeat_yourself,1209
wiki/JSONP,1181
wiki/Java_version_history,1179
wiki/UTF-8,1176
wiki/Cross-origin_resource_sharing,1172
wiki/Observer_pattern,1141
wiki/Base64,1139
wiki/Maintenance_mode,1131
wiki/Android_(operating_system),1124
wiki/Endianness,1118
wiki/Levenshtein_distance,1088
wiki/Strategy_pattern,1071
wiki/Factory_method_pattern,1056
wiki/JSON,1049
wiki/Regular_expression,1038
wiki/Liskov_substitution_principle,1032
wiki/Legacy_system,995
wiki/Representational_State_Transfer,975
wiki/List_of_HTTP_status_codes,930
w/api.php,917
wiki/Unix_time,899
wiki/Visitor_pattern,898
wiki/Hash_table,895
wiki/Cross-site_scripting,884
wiki/Decorator_pattern,882
wiki/Post/Redirect/Get,877
wiki/Short-circuit_evaluation,870
wiki/Cron,848
wiki/ASCII,822
wiki/Data_URI_scheme,808
wiki/Floating_point,806
wiki/Coordinated_Universal_Time,793
wiki/Resource_Acquisition_Is_Initialization,774
wiki/Two%27s_complement,771
wiki/Fisher%E2%80%93Yates_shuffle,763
wiki/Big_O_notation,760
wiki/Same-origin_policy,743
wiki/Sieve_of_Eratosthenes,734
wiki/Percent-encoding,731
wiki/Separation_of_concerns,729
wiki/Breadth-first_search,718
wiki/Curiously_Recurring_Template_Pattern,679
wiki/Object-relational_mapping,647
wiki/Unobtrusive_JavaScript,641
wiki/Basic_access_authentication,636
wiki/Hypertext_Transfer_Protocol,633
wiki/Ajax_%28programming%29,624
wiki/Command_pattern,621
wiki/Memoization,618
wiki/Dijkstra%27s_algorithm,615
wiki/IEEE_floating_point,607
wiki/Quicksort,598
wiki/Depth-first_search,594
wiki/Prepared_statement,590
wiki/ANSI_escape_code,584
wiki/Bitwise_operation,584
wiki/Cross-site_request_forgery,581
wiki/Double-precision_floating-point_format,578
wiki/Universally_Unique_Identifier,573
wiki/List_of_tz_database_time_zones,568
wiki/Builder_pattern,555
wiki/Comma-separated_values,555
wiki/Template_method_pattern,554
wiki/WebSocket,543
wiki/Duck_typing,538
wiki/Binary_search_algorithm,531
wiki/Law_Of_Demeter,530
wiki/X86_calling_conventions,524
wiki/Knapsack_problem,520
wiki/Newline,506
wiki/JDBC_driver,505
wiki/A,500
wiki/Modulo_operation,497
wiki/Comet_%28programming%29,496
wiki/Object-oriented_programming,495
wiki/Windows-1252,495
wiki/Aspect-oriented_programming,494
wiki/HSL_and_HSV,491
wiki/Merge_sort,490
wiki/Immediately-invoked_function_expression,489
wiki/Sorting_algorithm,488
wiki/Null_Object_pattern,486
wiki/Adapter_pattern,482
wiki/Dynamic_programming,482
w/index.php,475
wiki/Race_condition,470
wiki/HTTP_cookie,466
wiki/Halting_problem,462
wiki/KISS_principle,456
wiki/Join_%28SQL%29,448
wiki/Call_stack,443
wiki/Inversion_of_control,443
wiki/De_Morgan%27s_laws,442
wiki/.NET_Framework,436
wiki/Solid_(object-oriented_design),432
wiki/Name_mangling,431
wiki/List_of_XML_and_HTML_character_entity_references,430
wiki/Composition_over_inheritance,425
wiki/Abstract_factory_pattern,421
wiki/MD5,418
wiki/Quadtree,413
wiki/Composite_pattern,412
wiki/List_of_HTTP_header_fields,411
wiki/Rotation_matrix,410
wiki/Immutable_object,407
wiki/Query_string,405
wiki/Return_value_optimization,403
wiki/ACID,402
wiki/Hash_function,402
wiki/Facade_pattern,400
wiki/JavaScript,400
wiki/Most_vexing_parse,397
wiki/Tail_call,397
wiki/Cartesian_product,393
wiki/Don,389
wiki/Haversine_formula,389
wiki/Linear_congruential_generator,388
wiki/Transmission_Control_Protocol,388
wiki/Nanosecond,387
wiki/Data_structure_alignment,386
wiki/Comma_operator,383
wiki/Abstract_syntax_tree,382
wiki/Comet_(programming),381
wiki/ISO/IEC_8859-1,380
wiki/Inter-process_communication,378
wiki/Subset_sum_problem,375
wiki/Executable_and_Linkable_Format,373
wiki/Ajax_(programming),370
wiki/Include_guard,370
wiki/Fluent_interface,367
wiki/PBKDF2,367
wiki/Linked_List,366
wiki/Open/closed_principle,366
wiki/Bubble_sort,362
wiki/Dependency_inversion_principle,361
wiki/Tree_traversal,361
wiki/UTF-16,361
wiki/Serialization,356
wiki/Push_technology,354
wiki/Bloom_filter,353
wiki/Currying,353
wiki/Topological_sorting,353
wiki/Application_binary_interface,352
wiki/SOLID_%28object-oriented_design%29,346
wiki/Cryptographic_hash_function,345
wiki/First_normal_form,345
wiki/MIME,345
wiki/Data_Transfer_Object,340
wiki/Java_Native_Interface,340
wiki/Virtual_memory,339
wiki/America/Montreal,335
wiki/Finite-state_machine,335
wiki/Test-driven_development,334
wiki/Flood_fill,333
wiki/List_of_tz_zones_by_name,326
wiki/C%2B%2B11,325
wiki/Disjoint-set_data_structure,323
wiki/State_pattern,323
wiki/Variable-length_array,323
wiki/Fragment_identifier,321
wiki/Chunked_transfer_encoding,320
wiki/Join_(SQL),320
wiki/Transport_Layer_Security,320
wiki/Single-precision_floating-point_format,318
wiki/XMLHttpRequest,317
wiki/BMP_file_format,315
wiki/Rainbow_table,310
wiki/Uniform_Resource_Locator,310
wiki/Address_space_layout_randomization,308
wiki/K-d_tree,308
wiki/Lexicographical_order,306
wiki/PHP,305
wiki/Selection_algorithm,305
wiki/XPath,303
wiki/Advanced_Encryption_Standard,302
wiki/Functional_programming,302
wiki/Birthday_problem,301
wiki/Unicode,301
wiki/Bcrypt,300
wiki/C_preprocessor,300
wiki/Fibonacci_number,299
wiki/XML,299
wiki/Globally_Unique_Identifier,297
wiki/Document_Object_Model,296
wiki/Africa/Casablanca,294
wiki/Microsoft_Visual_Studio,293
wiki/System_call,293
wiki/Binary_search_tree,292
wiki/Shunting-yard_algorithm,292
wiki/Travelling_salesman_problem,292
wiki/Quirks_mode,291
wiki/Insertion_sort,290
,289
wiki/Man-in-the-middle_attack,287
wiki/Radix_sort,285
wiki/Flyweight_pattern,283
wiki/JPEG,283
wiki/Knuth%E2%80%93Morris%E2%80%93Pratt_algorithm,283
wiki/Progressive_enhancement,283
wiki/Two,283
wiki/Block_cipher_mode_of_operation,282
wiki/Just-in-time_compilation,281
wiki/Shebang_(Unix),281
wiki/Entity-Attribute-Value_model,277
wiki/Buffer_overflow,275
wiki/Code_smell,275
wiki/C%2B%2B0x,273
wiki/Nosql,272
wiki/Continuous_integration,270
wiki/Counting_sort,270
wiki/Exponentiation_by_squaring,270
wiki/JQuery,270
wiki/Operators_in_C_and_C%2B%2B,270
wiki/Shebang_%28Unix%29,270
wiki/Mersenne_Twister,269
wiki/Sequence_point,269
wiki/Recursive_descent_parser,267
wiki/B-tree,266
wiki/Interval_tree,266
wiki/Nested_set_model,266
wiki/Memory_leak,265
wiki/Suffix_tree,264
wiki/Model_View_ViewModel,262
wiki/Free_software,261
wiki/Mock_object,261
wiki/One_Definition_Rule,261
wiki/Language_Integrated_Query,260
