,0
0,10 base 2
1,10 base 5
2,10 base fx
3,8421 code
4,419 fraud
5,4gl
6,7-zip
7,a* algorithm
8,abc
9,abduction
10,abelian group
11,abi
12,ablative
13,abone
14,abort
15,absolute address
16,abnormal termination
17,absolute code
18,absolute link
19,absolute path
20,absolute url
21,absolute value
22,absorption laws
23,abstract computability theory
24,abstract data type
25,abstract family of languages
26,abstraction
27,abstract machine
28,abstract reduction system
29,abstract specification
30,a-buffer
31,ac97
32,accelerated graphics port
33,acceleration time
34,accelerator key
35,accent-sensitive
36,accept
37,acceptable use policy
38,acceptance testing
39,access
40,access
41,access control
42,access method
43,access path
44,access point
45,access provider
46,access rights
47,access time
48,access vector
49,account
50,accounting file
51,accumulator
52,accuracy
53,ace
54,acia
55,acid
56,ack
57,ackermann benchmark
58,ackermann function
59,acknowledgment
60,acm
61,acoustic coupler
62,acoustic delay line
63,acoustic memory
64,acrobat
65,action selection
66,active
67,active directory
68,active filter
69,active-matrix lcd
70,active server pages
71,active star
72,active transition
73,active vision
74,active widget
75,activex
76,activity network
77,actor language
78,actors
79,actual parameter
80,actuator
81,acyclic graph
82,ada
83,ada 95
84,adams methods
85,adaptive channel allocation
86,adaptive compression
87,adaptive-control system
88,adaptive interface
89,adaptive maintenance
90,adaptive meshing
91,adaptive process
92,adaptive quadrature
93,adaptive ray tracing
94,adc
95,adccp
96,a/d converter
97,adder
98,add-in card
99,address
100,addressability
101,addressable location
102,address book
103,address bus
104,address calculation sorting
105,address format
106,addressing
107,addressing schemes
108,address mapping
109,address mark
110,address register
111,address-relative
112,address space
113,address table sorting
114,add–subtract time
115,adequacy theorem
116,ad hoc network
117,adjacency list
118,adjacency matrix
119,adjacency structure
120,adobe reader
121,address resolution protocol
122,advanced encryption standard
123,advance-fee fraud
124,adp
125,adsl
126,adware
127,aes
128,afips
129,afl
130,agent
131,agp
132,agv
133,ai
134,aix
135,affine mapping
136,agenda mechanism
137,agile methods
138,aitken’s δ2 process
139,alarp principle
140,aleph null
141,alert box
142,algebra
143,algebraic abstract data type
144,algebraic language
145,algebraic model
146,algebraic semantics
147,algebraic specification
148,algebraic structure
149,algebraic surface
150,algebraic symbol manipulation language
151,algebraic system
152,algebra system
153,algol
154,algorithm
155,algorithm analysis
156,algorithm efficiency
157,algorithmic language
158,alias
159,aliasing
160,allocation routine
161,alpha axp
162,alphabet
163,alphabetic code
164,alpha buffer
165,alphamosaic
166,alphanumeric character
167,alphanumeric code
168,alpha test
169,alt key
170,alu
171,ambient computing
172,ambient light
173,ambiguous grammar
174,amplitude
175,amplitude modulation
176,amplitude quantization
177,analogue computer
178,analogue signal
179,analogue-to-digital converter
180,analysis of variance
181,analytical engine
182,analyser
183,ancestor
184,and gate
185,and operation
186,and/or graph
187,"andreessen, marc"
188,android
189,animation
190,ann
191,annotation
192,anonymization
193,anonymous ftp
194,anorak
195,anova
196,ansi
197,anti-aliasing
198,anti-pattern
199,anti-static precautions
200,antisymmetric relation
201,anti-virus program
202,any-time algorithms
203,aol
204,apache
205,apa mode
206,api
207,apl
208,app
209,apple inc.
210,applet
211,application
212,application binary interface
213,application generator
214,application layer
215,application package
216,application portability profile
217,application programming interface
218,applications program
219,applications programmer
220,applications software
221,application store
222,application terminal
223,applicative language
224,approximation theory
225,apse
226,arc
227,architectural design
228,architecture
229,archive
230,arden’s rule
231,area coherence
232,area filling
233,argument
234,arithmetic and logic unit
235,arithmetic instruction
236,arithmetic/logic unit
237,arithmetic operation
238,arithmetic operator
239,arithmetic shift
240,arithmetic unit
241,arity
242,arm
243,arma
244,arp
245,arpa
246,arpanet
247,arm holdings
248,array
249,array management software
250,array processor
251,arrow keys
252,articulation point
253,artificial immune system
254,artificial intelligence
255,artificial life
256,artificial neural network
257,ascc
258,ascii
259,asf
260,asic
261,asm
262,asp
263,aspect
264,as number
265,aspect ratio
266,aspect source flag
267,assembler
268,assembly language
269,assertion
270,assertion checker
271,assignment-free language
272,assignment statement
273,associative addressing
274,associative law
275,associative memory
276,associative network
277,associative operation
278,associative processor
279,a-stability
280,astable
281,asymmetric encryption
282,asymmetric relation
283,asymptotic
284,asymptotic analysis
285,asymptotic expansion
286,asynchronous
287,asynchronous bus
288,asynchronous circuit
289,asynchronous interface
290,asynchronous tdm
291,asynchronous transfer mode
292,asynchronous transmission
293,atanasoff-berry computer
294,ata
295,at&t
296,atl
297,atlas
298,atm
299,atom
300,atomic action
301,atomic formula
302,atomicity
303,attach
304,attachment
305,attenuation
306,attribute
307,attribute grammar
308,audio card
309,audio response unit
310,audit trail
311,augmented addressing
312,augmented reality
313,augmented transition network
314,aui
315,aup
316,authentication
317,authentication code
318,authoring language
319,authorization
320,autobaud
321,autochanger
322,autocode
323,autodial
324,autodump
325,autoload
326,autoload cartridge
327,automated disk library
328,automated reasoning
329,automated tape library
330,automatic coding
331,automatic computing engine
332,automatic data conversion
333,automatic data processing
334,automatic programming
335,automaton
336,automorphism
337,autonomous guided vehicle
338,autonomous system
339,autoplay
340,autoregression
341,autosave
342,autothread
343,auxiliary memory
344,availability
345,available list
346,available time
347,avatar
348,average-case analysis
349,avionics
350,avl tree
351,awk
352,axiom
353,axiomatic semantics
354,axiomatic specification
355,axonometric projection
356,b
357,b
358,babbage
359,"babbage, charles"
360,backbone network
361,backdoor
362,back driving
363,back end
364,back-end processor
365,back-face detection
366,background processing
367,backing store
368,backplane
369,back plane
370,back propagation
371,backtracking
372,backup
373,backus normal form
374,backward chaining
375,backward compatibility
376,backward error analysis
377,backward error correction
378,backward error recovery
379,band-limited channel
380,badge reader
381,bad sector
382,bag
383,balance
384,balanced
385,balanced cable
386,band
387,band matrix
388,band-pass filter
389,band printer
390,band-reject filter
391,band-stop filter
392,bandwidth
393,bank switching
394,banner
395,bar code
396,bar-code scanner
397,barker sequence
398,barrel printer
399,base
400,base
401,base addressing
402,base band
403,baseband networking
404,baseband signalling
405,base-bound register
406,base field
407,base-limit register
408,base register
409,basic
410,batch control
411,batcher’s parallel method
412,batch learning
413,batch processing
414,baud rate
415,bayesian network
416,bayesian statistics
417,bayes’s theorem
418,bbs
419,bcd
420,bcd adder
421,bch code
422,bcpl
423,bcs
424,bdf methods
425,beam deflection
426,bearer
427,bearer network
428,behavioural animation
429,behaviour-based systems
430,belief systems
431,bell telephone laboratories
432,belt printer
433,benchmark
434,ber
435,"berners-lee, sir tim"
436,best-first search
437,best fit
438,beta
439,beta
440,beta reduction
441,beta test
442,bézier curve
443,bézier patch
444,bézier surface
445,bgp
446,bias
447,bifurcation
448,big-endian
449,bijection
450,binary adder
451,binary chop
452,binary code
453,biased exponent
454,bicomponent algorithm
455,biconditional
456,biconnected graph
457,bidirectional reflection distribution
458,binary-coded decimal
459,binary counter
460,binary digit
461,binary encoding
462,binary-level compatibility
463,binary logic
464,binary notation
465,binary number
466,binary operation
467,binary prefixes
468,binary relation
469,binary search algorithm
470,binary search tree
471,binary sequence
472,binary signal
473,binary space-partitioning tree
474,binary symmetric channel
475,binary synchronous communications
476,binary system
477,binary tree
478,binary-tree representation
479,bind
480,binding
481,binding occurrence
482,binomial distribution
483,bioinformatics
484,biomimetic robotics
485,bios
486,biplot
487,bipartite graph
488,bipolar integrated circuit
489,bipolar signal
490,bipolar transistor
491,biquinary code
492,bisection algorithm
493,bis
494,b-isdn
495,bistable
496,bisync
497,bit
498,bit-block transfer
499,birkhoff’s completeness theorem
500,bit-slice architecture
501,bitblt
502,bit density
503,bit error rate
504,bit handling
505,bitmap
506,bit matrix
507,bitnet
